0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/66/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/61/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/67/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/69/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/68/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/60/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/64/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "POST /configurator/UIDL/?v-uiId=6 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:32 +0100] "POST /configurator/UIDL/?v-uiId=6 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:32 +0100] "POST /configurator/UIDL/?v-uiId=6 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:32 +0100] "POST /configurator/UIDL/?v-uiId=6 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:34 +0100] "GET /configurator/ HTTP/1.1" 200 2169
